Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Raynerd Ortega","LAD",0.25,1,0.9248,0.1344,0.1078,0.017,0.0012,0.0084,0.0676,0.0602,0.0533,0,0.3128,0.012,0.007,0.0029,,0.0098,0.0028,0.145329,0.0533,0.3128,0.170396,0.200281,0.193555,0.181398,0.393836,0.0482267,3.73683,0.206354,0,-0.000540196,0.013327,-0.103651,13.458,-0.000540196,0,-0.10402775480179116,0.004000000189989805,-0.00689139,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Raynerd Ortega","sa3018542",800380
"Franchely Silverio","HOU",0.25,1,0.9482,0.1375,0.1119,0.0175,0.0014,0.0067,0.06,0.0569,0.0319,0,0.3003,0.01,0.007,0.0029,,0.009,0.0025,0.145012,0.0319,0.3003,0.106227,0.179922,0.187619,0.166242,0.36754,0.042607,3.70404,0.20179,0,-0.000426371,0.00112867,-0.115849,2.27372,-0.000426371,0,-0.11224571985076182,0.012000000104308128,-0.00691033,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Franchely Silverio","sa3023746",821002
"Enyel Rosario","CHC",0.25,1,0.9493,0.1441,0.1207,0.0166,0.0017,0.0052,0.0593,0.0564,0.0308,0,0.3032,0.01,0.007,0.0029,,0.0103,0.0029,0.151796,0.0308,0.3032,0.101583,0.185438,0.189403,0.169526,0.37484,0.0376067,3.99809,0.214385,0,-0.000389145,0.0037719,-0.113206,6.31466,-0.000389145,0,-0.11241877914289944,0.012000000104308128,-0.00693177,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Enyel Rosario","sa3023755",821090
"Rafael Flores","TOR",0.25,1,0.9332,0.1383,0.1141,0.0178,0.0013,0.0052,0.0623,0.0551,0.0439,0,0.308,0.013,0.007,0.0029,,0.0125,0.0035,0.1482,0.0439,0.308,0.142532,0.195768,0.186884,0.175782,0.382652,0.0386841,3.9404,0.212281,0,-0.000267127,0.00880744,-0.108171,8.78754,-0.000267127,0,-0.10463330248603597,0.004000000189989805,-0.00695036,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Rafael Flores","sa3023915",821012
"Angel Cepeda","CHC",0.25,1,0.9324,0.1386,0.1132,0.0164,0.0018,0.0073,0.0638,0.0581,0.0467,0,0.3336,0.011,0.007,0.0029,,0.0145,0.0041,0.148649,0.0467,0.3336,0.139988,0.196871,0.193694,0.17883,0.390565,0.045045,4.29829,0.219382,0,-0.000109341,0.0112602,-0.105718,12.5768,-0.000109341,0,-0.10465071010548854,0.004000000189989805,-0.00695573,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Angel Cepeda","sa3021080",806980
"Hunter Haas","TBR",0.25,1,0.9201,0.1578,0.1171,0.0278,0.0018,0.0111,0.076,0.0696,0.058,0,0.2925,0.012,0.007,0.0029,,0.013,0.0037,0.171503,0.058,0.2925,0.198291,0.228463,0.241822,0.212964,0.470284,0.0703184,4.13225,0.235285,0,-0.000375196,0.0387335,-0.0782446,37.644,-0.000375196,0,-0.0717235277115833,-0.028999999165534973,-0.00695968,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Hunter Haas","sa3022918",690983
"Jorge Quintana","MIL",0.25,1,0.9328,0.1323,0.1056,0.0182,0.0015,0.007,0.0619,0.0565,0.0473,0,0.3377,0.01,0.007,0.0029,,0.0157,0.0045,0.141831,0.0473,0.3377,0.140065,0.190151,0.187071,0.172971,0.377223,0.0452401,4.409,0.210553,0,0.0000317956,0.00654484,-0.110433,5.71588,0.0000317956,0,-0.11271386199223343,0.012000000104308128,-0.00696225,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jorge Quintana","sa3024107",815894
"Moises Polanco","MIL",0.25,1,0.9146,0.132,0.1079,0.0175,0.0014,0.0052,0.0648,0.0544,0.0635,0,0.2996,0.012,0.007,0.0029,,0.0169,0.0047,0.144325,0.0635,0.2996,0.211949,0.208103,0.183578,0.182906,0.391681,0.0392521,4.14186,0.205577,0,0.0000289995,0.0145408,-0.102437,12.4026,0.0000289995,0,-0.10472065770045447,0.004000000189989805,-0.00696295,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Moises Polanco","sa3024129",821199
"Jehancarlos Mendez","CHW",0.25,1,0.95,0.1406,0.1153,0.0163,0.0012,0.0078,0.057,0.0565,0.0291,0,0.3007,0.011,0.007,0.0029,,0.009,0.0025,0.148,0.0291,0.3007,0.0967742,0.181226,0.192316,0.168468,0.373541,0.0443158,3.55378,0.20478,0,-0.000438998,0.00292041,-0.114058,1.78324,-0.000438998,0,-0.11281955524464138,0.012000000104308128,-0.0069696,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jehancarlos Mendez","sa3023983",823348
"Yenci Pena",,0.25,1,0.9231,0.1597,0.1222,0.0248,0.0024,0.0103,0.075,0.0683,0.057,0,0.2769,0.01,0.007,0.0029,,0.0141,0.004,0.173004,0.057,0.2769,0.20585,0.227359,0.238544,0.210876,0.465903,0.06554,4.17751,0.232385,0,-0.000293272,0.037053,-0.0799251,31.7444,-0.000293272,0,-0.0801528639276512,-0.020999999716877937,-0.0070058,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yenci Pena","sa3003238",672562
