Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Buddy Kennedy","PHI",13.03,54.0037,47.1441,10.818,7.2804,2.3512,0.196,0.9904,5.7751,4.9986,5.6974,0.108,12.413,0.648,0.3699,0.1442,,0.4957,0.154,0.229467,0.1055,0.229855,0.458987,0.31867,0.350678,0.298201,0.669348,0.121211,4.09199,0.28811,-0.029,-0.0699192,5.79662,-0.520625,89.7868,-0.0989192,-0.121,-0.7584643512964249,0.09599999338388443,0.117314,999,,,,,,,50.8,3.907692307,50.8,3.907692307,0.218,0.241,0.259,0.275,0.291,0.308,0.327,0.351,0.387,0.275,0.282,0.288,0.293,0.298,0.302,0.308,0.314,0.323,"Buddy Kennedy","22505",671083
"Michael Stefanic","TOR",6.05,24.0245,20.9944,5.7194,4.4012,1.01,0.0543,0.2539,2.6445,2.1481,2.3736,0.048,3.1513,0.4084,0.1686,0.0795,,0.2885,0.0891,0.272425,0.0987991,0.13117,0.753213,0.355039,0.361987,0.320169,0.717026,0.089562,3.72972,0.30778,-0.012,-0.0347001,3.00351,0.193165,110.352,-0.0467001,-0.078,0.23786480352282524,0.023000001907348633,0.109654,999,,,,,,,21.5,3.583333333,21.5,3.583333333,0.211,0.24,0.263,0.285,0.307,0.33,0.358,0.392,0.446,0.297,0.305,0.31,0.315,0.32,0.324,0.329,0.335,0.344,"Michael Stefanic","25353",683021
"Jordan Diaz","ATH",6.42,26.5749,24.6348,6.1943,4.0711,1.2014,0.0506,0.8712,2.875,3.1103,1.459,0,5.2226,0.2392,0.184,0.0579,,0.0774,0.0248,0.251445,0.0549015,0.196524,0.279363,0.297639,0.410415,0.306988,0.708055,0.15897,2.75749,0.284278,-0.006,-0.0400979,3.04043,-0.068249,103.703,-0.0460979,-0.024,0.06648994982242584,0.08300000056624413,0.106931,999,,,,,,,23.9,3.983333333,23.9,3.983333333,0.192,0.221,0.246,0.268,0.291,0.316,0.345,0.383,0.442,0.283,0.29,0.296,0.302,0.306,0.311,0.317,0.323,0.332,"Jordan Diaz","22650",672478
"Cavan Biggio","KCR",16.09,64.2706,54.969,11.7093,7.8422,2.4114,0.1417,1.314,6.685,5.8796,7.5068,0,17.7935,1.1569,0.461,0.1769,,0.7718,0.2027,0.213016,0.1168,0.276853,0.421884,0.317863,0.333754,0.294325,0.651616,0.120737,4.06983,0.286195,0.007,-0.0580063,6.69812,-0.820129,86.356,-0.0510063,-0.434,-1.0543719716370106,-0.16599997878074646,0.0952347,749.4299926757812,,,,,,,56.3,3.51875,56.3,3.51875,0.22,0.242,0.258,0.273,0.288,0.304,0.321,0.343,0.376,0.27,0.278,0.284,0.289,0.294,0.299,0.304,0.31,0.319,"Cavan Biggio","19252",624415
"Keston Hiura","COL",11.61,47.226,42.4022,10.5462,6.3689,1.7917,0.1453,2.2403,5.8628,6.3009,3.5183,0.1417,14.1199,0.8501,0.329,0.1264,,0.3594,0.1098,0.248718,0.0744993,0.298986,0.249173,0.316661,0.45633,0.332745,0.772991,0.207612,3.73656,0.314963,-0.009,-0.0562147,6.38216,0.857758,100.522,-0.0652146,0.296,-0.03573283739387989,-0.6710000038146973,0.0894322,747.8800048828125,,,,,,,59.2,4.933333333,59.2,4.933333333,0.236,0.263,0.284,0.304,0.323,0.344,0.367,0.397,0.442,0.309,0.317,0.322,0.327,0.332,0.337,0.342,0.349,0.358,"Keston Hiura","20003",669374
"Jamie Westbrook","TBR",5.96,24.3571,21.5343,5.0804,3.471,0.9767,0.0374,0.5953,2.6253,2.4616,2.2165,0.0244,5.0907,0.3654,0.17,0.071,,0.1595,0.0476,0.235921,0.0910001,0.209002,0.435402,0.3155,0.367683,0.302493,0.683183,0.131762,3.31258,0.279999,-0.032,-0.0349578,2.69858,-0.150671,100.621,-0.0669578,-0.041,-0.04965544678270817,0.057999998331069946,0.084719,999,,,,,,,24.3,4.05,24.3,4.05,0.189,0.218,0.242,0.264,0.287,0.312,0.34,0.377,0.435,0.28,0.287,0.293,0.297,0.302,0.307,0.311,0.317,0.326,"Jamie Westbrook","15504",642197
"Nick Madrigal","NYM",5.59,22.4382,20.5487,5.5778,4.1942,1.0991,0.0987,0.1858,2.3473,2.1028,1.2408,0,2.6631,0.4263,0.1571,0.0652,,0.4243,0.1218,0.271443,0.0552986,0.118686,0.465923,0.323825,0.361663,0.302896,0.685488,0.0902198,4.6142,0.301956,-0.06,-0.0107296,2.49325,-0.131526,97.0501,-0.0707296,-0.042,-0.14988072961568832,0.05100000277161598,0.0669584,999,,,,,,,18.5,3.083333333,18.5,3.083333333,0.191,0.22,0.243,0.265,0.288,0.312,0.34,0.377,0.434,0.276,0.285,0.291,0.297,0.302,0.308,0.314,0.321,0.331,"Nick Madrigal","20521",663611
"Kyren Paris","LAA",13.66,53.5046,47.1677,9.4439,6.2236,1.8932,0.2271,1.1,5.4955,4.6963,5.2488,0,17.3483,0.535,0.3803,0.1728,,1.9419,0.4205,0.20022,0.0980999,0.324239,0.302554,0.285528,0.31995,0.271515,0.605477,0.11973,5.7156,0.286735,-0.01,0.123307,4.59385,-1.66502,73.0079,0.113307,-0.009,-1.5391611009836197,0.3709999956190586,0.0635616,750.7899780273438,,,,,,,40.4,2.885714285,40.4,2.885714285,0.192,0.214,0.231,0.247,0.263,0.28,0.3,0.324,0.361,0.245,0.253,0.26,0.265,0.271,0.276,0.282,0.289,0.299,"Kyren Paris","26420",677347
"Alika Williams","PIT",7.25,28.5434,25.9733,6.2261,4.4122,1.2581,0.182,0.3739,2.8139,2.5649,2.0123,0,6.2855,0.2569,0.2042,0.0968,,0.2962,0.0787,0.239712,0.0704996,0.220208,0.32015,0.298639,0.345355,0.284601,0.643994,0.105643,4.52694,0.299834,-0.027,-0.0253664,2.75135,-0.587608,78.636,-0.0523664,0.109,-0.7815708480775356,0.22999999672174454,0.0412031,999,,,,,,,16.5,2.357142857,16.5,2.357142857,0.18,0.207,0.229,0.25,0.271,0.293,0.32,0.353,0.406,0.258,0.267,0.273,0.279,0.284,0.289,0.295,0.302,0.312,"Alika Williams","27604",675961
"Charles Leblanc","ATL",3.91,16.0875,14.0204,3.1311,2.0742,0.6228,0.06,0.3741,1.7679,1.5977,1.768,0.0322,4.9001,0.1448,0.111,0.0433,,0.1433,0.0428,0.223325,0.109899,0.304591,0.360809,0.314375,0.356352,0.298073,0.670727,0.133028,4.07899,0.311272,0,-0.0198872,1.72513,-0.156752,89.0972,-0.0198872,-0.089,-0.22963029518723488,-0.024000003933906555,0.0291345,999,,,,,,,11.7,2.925,11.7,2.925,0.166,0.198,0.224,0.249,0.276,0.305,0.339,0.384,0.457,0.275,0.283,0.288,0.293,0.298,0.302,0.307,0.313,0.322,"Charles Leblanc","19813",641779
