Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brad Miller",,0.25,1,0.895,0.1917,0.1276,0.0339,0.0027,0.0275,0.1014,0.102,0.087,0,0.2703,0.008,0.0072,0.0028,,0.0119,0.0034,0.21419,0.087,0.2703,0.321865,0.287505,0.350279,0.282195,0.637784,0.136089,4.05079,0.271674,-0.002,-0.000753875,0.0944549,-0.0225232,80.8056,-0.00275387,0,-0.02521152305416763,-0.028999999165534973,-0.00215781,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brad Miller","12775",543543
"Edwin Ríos","CIN",1.7,6.88929,6.1281,1.309,0.7535,0.2767,0.0077,0.2711,0.7754,0.8019,0.618,0.0344,2.3459,0.0758,0.0482,0.0192,,0.0316,0.0092,0.213606,0.0897044,0.340514,0.263438,0.291524,0.393988,0.297868,0.685512,0.180382,2.86966,0.291602,-0.005,-0.00855726,0.73763,-0.0682661,83.6773,-0.0135573,0.037,-0.14802762120962143,-0.10400000214576721,-0.00233484,999,,,,,,,2.6,1.3,2.6,1.3,0.113,0.147,0.179,0.211,0.247,0.288,0.34,0.413,0.541,0.272,0.28,0.287,0.292,0.297,0.302,0.308,0.315,0.325,"Edwin Rios","18316",621458
"Yoshi Tsutsugo",,0.25,1,0.8751,0.1648,0.1057,0.0287,0.0049,0.0255,0.0988,0.0918,0.107,0.002,0.343,0.008,0.007,0.0029,,0.0076,0.0023,0.188321,0.107,0.343,0.311953,0.280614,0.319735,0.268692,0.600349,0.131414,4.17671,0.271223,-0.001,-0.00113759,0.0835867,-0.0333914,71.5166,-0.00213759,-0.001,-0.035463446052744985,-0.02199999976437539,-0.00249366,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yoshi Tsutsugo","27459",660294
"Miguel Cabrera",,0.25,1,0.916,0.217,0.1619,0.0363,0.0019,0.0169,0.091,0.0924,0.066,0.001,0.2409,0.009,0.0068,0.0022,,0.0051,0.0015,0.2369,0.066,0.2409,0.273973,0.292644,0.336026,0.27811,0.62867,0.0991266,2.98779,0.300902,-0.005,-0.00144933,0.0911668,-0.0258113,77.9952,-0.00644933,0,-0.0321951131336391,-0.028999999165534973,-0.00287906,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Miguel Cabrera","1744",408234
"Seth Beer",,0.44,1.78217,1.5916,0.351,0.2337,0.0694,0.0048,0.0431,0.1825,0.1753,0.1319,0.0036,0.4568,0.041,0.0125,0.0052,,0.0066,0.0019,0.220533,0.0740108,0.256317,0.288748,0.294823,0.351407,0.285907,0.64623,0.130875,3.2982,0.278844,-0.002,-0.00263016,0.173659,-0.0348158,83.359,-0.00463016,0,-0.039329192601144314,-0.050999999046325684,-0.00319648,999,,,,,,,-2,,-2,,0.05,0.077,0.105,0.137,0.176,0.226,0.295,0.403,0.622,0.262,0.27,0.276,0.281,0.285,0.29,0.295,0.301,0.31,"Seth Beer","20493",666179
"Rylan Bannon",,2.35,9.49786,8.1767,1.5223,0.9765,0.3024,0.0249,0.2186,0.9494,0.8365,1.1207,0.019,2.8455,0.1045,0.0673,0.0287,,0.1417,0.0438,0.186175,0.117995,0.299594,0.39385,0.290151,0.309465,0.271152,0.599616,0.123289,4.26358,0.251684,-0.005,-0.00662607,0.812704,-0.298338,73.2092,-0.0116261,-0.082,-0.3093415852636099,-0.0430000014603138,-0.00370656,999,,,,,,,6.2,3.1,6.2,3.1,0.12,0.151,0.179,0.206,0.236,0.27,0.311,0.368,0.464,0.249,0.256,0.261,0.266,0.271,0.275,0.28,0.286,0.294,"Rylan Bannon","19768",676625
"Jorge Oña",,0.25,1,0.9191,0.1814,0.1151,0.037,0.0028,0.0265,0.0947,0.0966,0.058,0,0.3676,0.013,0.007,0.0029,,0.0109,0.003,0.197367,0.058,0.3676,0.15778,0.253134,0.330214,0.256742,0.583348,0.132847,4.24868,0.291165,0,-0.000503799,0.0739691,-0.043009,63.2964,-0.000503799,0,-0.043447280302643776,-0.028999999165534973,-0.00404116,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jorge Ona","20040",671250
"Cam Eden","NYY",0.75,3.04428,2.7341,0.5666,0.3969,0.1058,0.0104,0.0535,0.3113,0.2639,0.2375,0.0061,0.8993,0.0426,0.0213,0.0088,,0.1574,0.0357,0.207235,0.0780151,0.295406,0.264094,0.278933,0.312242,0.26375,0.591174,0.105007,6.26735,0.284644,0,0.0117262,0.242354,-0.11376,69.3118,0.0117262,-0.01,-0.09516985062509775,-0.047999998554587364,-0.00430534,999,,,,,,,2.6,2.6,2.6,2.6,0.064,0.092,0.12,0.15,0.186,0.23,0.288,0.376,0.543,0.239,0.247,0.253,0.258,0.263,0.268,0.274,0.28,0.29,"Cam Eden","25476",686490
"Robbie Grossman",,24.49,101.892,87.7925,19.1665,12.6438,4.0513,0.1953,2.276,10.77,9.5668,12.227,0,26.4255,0.917,0.6997,0.2555,,0.8711,0.2246,0.218316,0.12,0.259349,0.462697,0.317903,0.346684,0.298045,0.664588,0.128369,3.4695,0.282494,-0.106,-0.120273,10.924,-0.995104,91.7088,-0.226273,-0.326,-1.2147023677825928,-2.2229999601840973,-0.00442523,999,,,,,,,89.7,3.7375,89.7,3.7375,0.236,0.255,0.269,0.281,0.294,0.307,0.321,0.339,0.365,0.275,0.282,0.288,0.293,0.297,0.302,0.307,0.313,0.322,"Robbie Grossman","5254",543257
"Kevin Cron",,0.25,1,0.9421,0.1896,0.1192,0.0374,0.0034,0.0295,0.0942,0.1026,0.038,0,0.3391,0.01,0.007,0.0029,,0.0105,0.0029,0.201253,0.038,0.3391,0.112061,0.238291,0.342002,0.252005,0.580293,0.140749,4.55074,0.275797,-0.001,-0.000394132,0.0701562,-0.0468219,60.0376,-0.00139413,0,-0.04815052205231041,-0.028999999165534973,-0.0045269,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kevin Cron","16211",605196
