Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jack Sinclair","WSN",0.0454,0.0524,0,4.48767,1,0,0,0,,1,4.374,0.9764,0.5362,0.49863,0.135333,0.4397,0.0253,0.0585,0.8226,7.4034,3.9573,1.87082,1.218,0.188066,0.100526,0.08754000812768936,0.251922,1.4161,0.288247,0.717329,0.416508,,4.77521,-0.00405993,-0.0469189,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jack Sinclair","sa3017596",695378
"Boby Johnson",,0.0464,0.0515,0,4.58874,1,0,0,0,,1,4.374,1.0149,0.5467,0.50986,0.140556,0.4015,0.0253,0.0459,0.8245,7.4205,3.6135,2.05355,1.265,0.1885,0.0917924,0.09670782089233398,0.258468,1.4164,0.295233,0.71309,0.407011,,4.6869,-0.00406676,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Boby Johnson","sa3006983",681908
"Edgar Santana",,0.0488,0.0491,0,4.56912,1,0,0,0,,1,4.355,1.0568,0.5458,0.50768,0.138444,0.3503,0.0251,0.0393,0.7828,7.0452,3.1527,2.23466,1.246,0.179747,0.0804363,0.09931113570928574,0.266505,1.4071,0.301678,0.709895,0.43083,,4.56946,-0.00407476,-0.0461705,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Edgar Santana","17355",650828
"Aaron McGarity",,0.0469,0.051,0,4.48956,1,0,0,0,,1,4.344,1.0058,0.5354,0.49884,0.142444,0.3553,0.0251,0.0674,0.7991,7.1919,3.1977,2.24909,1.282,0.183955,0.081791,0.1021638959646225,0.256497,1.3611,0.28974,0.710782,0.405996,,4.68816,-0.00408101,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Aaron McGarity","sa873280",641849
"Tanner Tully",,0.047,0.0508,0,4.44591,1,0,0,0,,1,4.288,1.0968,0.5316,0.49399,0.148444,0.2379,0.026,0.039,0.6188,5.5692,2.1411,2.60109,1.336,0.14431,0.0554804,0.08882929012179375,0.273441,1.3347,0.292354,0.712677,0.412003,,4.68936,-0.00408441,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Tanner Tully","19518",668684
"Cristofer Melendez","PIT",0.0452,0.0526,0,4.65408,1,0,0,0,,1,4.454,0.9601,0.5531,0.51712,0.128778,0.5385,0.0257,0.0465,0.9423,8.4807,4.8465,1.74986,1.159,0.211563,0.120903,0.09066008776426315,0.248152,1.4986,0.297121,0.717206,0.384121,,4.71099,-0.00408764,-0.0445637,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cristofer Melendez","sa873429",658667
"Cody Stashak","PHI",0.0472,0.0506,0,4.63671,1,0,0,0,,1,4.314,0.9928,0.5478,0.51519,0.169444,0.3513,0.0233,0.0405,0.8411,7.5699,3.1617,2.39425,1.525,0.19497,0.0814325,0.11353730410337448,0.253123,1.3441,0.282779,0.719411,0.343791,,4.86246,-0.00410914,-0.0460596,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Cody Stashak","18088",664054
"David Ellingson",,0.0462,0.0516,0,4.61034,1,0,0,0,,1,4.401,1.0161,0.5502,0.51226,0.134556,0.4233,0.0254,0.0558,0.8311,7.4799,3.8097,1.96338,1.211,0.188843,0.0961827,0.09266076236963272,0.259084,1.4394,0.298197,0.710779,0.422993,,4.6908,-0.00411102,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"David Ellingson","sa873708",670287
"Ramon Perez",,0.0476,0.0523,0.0061,4.4478,0.9258,0.0158,0,0,,1,4.429,0.9638,0.5318,0.4942,0.127778,0.5054,0.0236,0.0537,0.9063,8.1567,4.5486,1.79323,1.15,0.204629,0.114112,0.09051704406738281,0.24905,1.4692,0.294808,0.726492,0.411976,,4.69229,-0.00412792,-0.0476151,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ramon Perez","sa3004005",673325
"Max Roberts",,0.0472,0.0506,0,4.38678,1,0,0,0,,1,4.452,0.9589,0.5272,0.48742,0.116889,0.5601,0.0257,0.041,0.8985,8.0865,5.0409,1.60418,1.052,0.201819,0.125809,0.07601077854633331,0.249007,1.519,0.296952,0.731764,0.442987,,4.69234,-0.00412842,-0.0476151,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Max Roberts","sa3004014",676611
